"state","puma12","county","stab","cntyname","PUMAname","hus10","afact"
"State code","puma12","County code","State abbreviation","County name","PUMA12 name","Total housing units (2010)","puma12 to county allocation factor"
"01","00100","01033","AL","Colbert AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",25758,0.295 
"01","00100","01059","AL","Franklin AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",14022,0.16 
"01","00100","01077","AL","Lauderdale AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",43791,0.501 
"01","00100","01093","AL","Marion AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",3812,0.044 
"01","00200","01083","AL","Limestone AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",34977,0.494 
"01","00200","01089","AL","Madison AL","Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest)",35758,0.506 
"01","00301","01089","AL","Madison AL","Huntsville (North) & Madison (East) Cities",51860,1 
"01","00302","01089","AL","Madison AL","Huntsville City (Central & South)",48422,1 
"01","00400","01049","AL","DeKalb AL","DeKalb & Jackson Counties",31109,0.557 
"01","00400","01071","AL","Jackson AL","DeKalb & Jackson Counties",24786,0.443 
"01","00500","01089","AL","Madison AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",10407,0.205 
"01","00500","01095","AL","Marshall AL","Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast)",40342,0.795 
"01","00600","01079","AL","Lawrence AL","Morgan & Lawrence Counties--Decatur City",15229,0.229 
"01","00600","01103","AL","Morgan AL","Morgan & Lawrence Counties--Decatur City",51193,0.771 
"01","00700","01043","AL","Cullman AL","Cullman & Winston Counties",37054,0.733 
"01","00700","01133","AL","Winston AL","Cullman & Winston Counties",13469,0.267 
"01","00800","01009","AL","Blount AL","St. Clair & Blount Counties",23887,0.402 
"01","00800","01115","AL","St. Clair AL","St. Clair & Blount Counties",35541,0.598 
"01","00900","01055","AL","Etowah AL","Etowah County",47454,1 
"01","01000","01019","AL","Cherokee AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",16267,0.206 
"01","01000","01027","AL","Clay AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",6776,0.086 
"01","01000","01029","AL","Cleburne AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",6718,0.085 
"01","01000","01111","AL","Randolph AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",11982,0.152 
"01","01000","01121","AL","Talladega AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",37088,0.47 
"01","01100","01015","AL","Calhoun AL","Calhoun County",53289,1 
"01","01200","01117","AL","Shelby AL","Shelby County",80970,1 
"01","01301","01073","AL","Jefferson AL","Birmingham City (West)",49351,1 
"01","01302","01073","AL","Jefferson AL","Birmingham City (East)",52962,1 
"01","01303","01073","AL","Jefferson AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",77644,1 
"01","01304","01073","AL","Jefferson AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",73138,1 
"01","01305","01073","AL","Jefferson AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",47457,1 
"01","01400","01057","AL","Fayette AL","Walker, Marion (South & West), Fayette & Lamar Counties",8437,0.147 
"01","01400","01075","AL","Lamar AL","Walker, Marion (South & West), Fayette & Lamar Counties",7354,0.128 
"01","01400","01093","AL","Marion AL","Walker, Marion (South & West), Fayette & Lamar Counties",10925,0.19 
"01","01400","01127","AL","Walker AL","Walker, Marion (South & West), Fayette & Lamar Counties",30816,0.536 
"01","01500","01107","AL","Pickens AL","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)",9483,0.216 
"01","01500","01125","AL","Tuscaloosa AL","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West)",34443,0.784 
"01","01600","01125","AL","Tuscaloosa AL","Tuscaloosa & Northport (Southeast) Cities",50429,1 
"01","01700","01007","AL","Bibb AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",8981,0.141 
"01","01700","01047","AL","Dallas AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",20208,0.318 
"01","01700","01063","AL","Greene AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",5007,0.079 
"01","01700","01065","AL","Hale AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",7655,0.12 
"01","01700","01091","AL","Marengo AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",10237,0.161 
"01","01700","01105","AL","Perry AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",4737,0.074 
"01","01700","01119","AL","Sumter AL","Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",6786,0.107 
"01","01800","01017","AL","Chambers AL","Chilton, Tallapoosa, Chambers & Coosa Counties",17004,0.262 
"01","01800","01021","AL","Chilton AL","Chilton, Tallapoosa, Chambers & Coosa Counties",19278,0.297 
"01","01800","01037","AL","Coosa AL","Chilton, Tallapoosa, Chambers & Coosa Counties",6478,0.1 
"01","01800","01123","AL","Tallapoosa AL","Chilton, Tallapoosa, Chambers & Coosa Counties",22111,0.341 
"01","01900","01081","AL","Lee AL","Lee County--Auburn City",62391,1 
"01","02000","01101","AL","Montgomery AL","Montgomery City & Pike Road Town (North)",87844,1 
"01","02100","01001","AL","Autauga AL","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",22135,0.3 
"01","02100","01051","AL","Elmore AL","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",32657,0.443 
"01","02100","01085","AL","Lowndes AL","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",5140,0.07 
"01","02100","01101","AL","Montgomery AL","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",13797,0.187 
"01","02200","01023","AL","Choctaw AL","Southwest Alabama",7269,0.106 
"01","02200","01025","AL","Clarke AL","Southwest Alabama",12638,0.183 
"01","02200","01035","AL","Conecuh AL","Southwest Alabama",7093,0.103 
