state,county,persons,hud_med_inc,hud_inc_lim80
2,13,1,67400,45500
2,13,2,67400,52000
2,13,3,67400,58500
2,13,4,67400,64950
2,13,5,67400,70150
2,13,6,67400,75350
2,13,7,67400,80550
2,13,8,67400,85750
2,16,1,94300,53150
2,16,2,94300,60750
2,16,3,94300,68350
2,16,4,94300,75900
2,16,5,94300,82000
2,16,6,94300,88050
2,16,7,94300,94150
2,16,8,94300,100200
2,20,1,99500,50350
2,20,2,99500,57550
2,20,3,99500,64750
2,20,4,99500,71900
2,20,5,99500,77700
2,20,6,99500,83450
2,20,7,99500,89200
2,20,8,99500,94950
2,50,1,52600,48350
2,50,2,52600,55250
2,50,3,52600,62150
2,50,4,52600,69050
2,50,5,52600,74600
2,50,6,52600,80100
2,50,7,52600,85650
2,50,8,52600,91150
2,60,1,94900,50350
2,60,2,94900,57550
2,60,3,94900,64750
2,60,4,94900,71900
2,60,5,94900,77700
2,60,6,94900,83450
2,60,7,94900,89200
2,60,8,94900,94950
2,68,1,102900,50350
2,68,2,102900,57550
2,68,3,102900,64750
2,68,4,102900,71900
2,68,5,102900,77700
2,68,6,102900,83450
2,68,7,102900,89200
2,68,8,102900,94950
2,70,1,60500,45500
2,70,2,60500,52000
2,70,3,60500,58500
2,70,4,60500,64950
2,70,5,60500,70150
2,70,6,60500,75350
2,70,7,60500,80550
2,70,8,60500,85750
2,90,1,93000,50350
2,90,2,93000,57550
2,90,3,93000,64750
2,90,4,93000,71900
2,90,5,93000,77700
2,90,6,93000,83450
2,90,7,93000,89200
2,90,8,93000,94950
2,100,1,73200,45500
2,100,2,73200,52000
2,100,3,73200,58500
2,100,4,73200,64950
2,100,5,73200,70150
2,100,6,73200,75350
2,100,7,73200,80550
2,100,8,73200,85750
2,105,1,70700,45500
2,105,2,70700,52000
2,105,3,70700,58500
2,105,4,70700,64950
2,105,5,70700,70150
2,105,6,70700,75350
2,105,7,70700,80550
2,105,8,70700,85750
2,110,1,104900,50350
2,110,2,104900,57550
2,110,3,104900,64750
2,110,4,104900,71900
2,110,5,104900,77700
2,110,6,104900,83450
2,110,7,104900,89200
2,110,8,104900,94950
2,122,1,82900,46450
2,122,2,82900,53050
2,122,3,82900,59700
2,122,4,82900,66300
2,122,5,82900,71650
2,122,6,82900,76950
2,122,7,82900,82250
2,122,8,82900,87550
2,130,1,87400,48950
2,130,2,87400,55950
2,130,3,87400,62950
2,130,4,87400,69900
2,130,5,87400,75500
2,130,6,87400,81100
2,130,7,87400,86700
2,130,8,87400,92300
2,150,1,84400,47250
2,150,2,84400,54000
2,150,3,84400,60750
2,150,4,84400,67500
2,150,5,84400,72900
2,150,6,84400,78300
2,150,7,84400,83700
2,150,8,84400,89100
2,158,1,41500,45500
2,158,2,41500,52000
2,158,3,41500,58500
2,158,4,41500,64950
2,158,5,41500,70150
2,158,6,41500,75350
2,158,7,41500,80550
2,158,8,41500,85750
2,164,1,57700,45500
2,164,2,57700,52000
2,164,3,57700,58500
2,164,4,57700,64950
2,164,5,57700,70150
2,164,6,57700,75350
2,164,7,57700,80550
2,164,8,57700,85750
2,170,1,92000,50350
2,170,2,92000,57550
2,170,3,92000,64750
2,170,4,92000,71900
2,170,5,92000,77700
2,170,6,92000,83450
2,170,7,92000,89200
2,170,8,92000,94950
2,180,1,50900,49700
2,180,2,50900,56800
2,180,3,50900,63900
2,180,4,50900,70950
2,180,5,50900,76650
2,180,6,50900,82350
2,180,7,50900,88000
2,180,8,50900,93700
2,185,1,83200,46600
2,185,2,83200,53250
2,185,3,83200,59900
